City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Weather
171,Dzerzhinskoye,56.8344,95.2283,-12.08,100,57,2.53,RU,broken clouds
172,Honiara,-9.4333,159.95,80.46,84,100,2.01,SB,moderate rain
173,Chegem,43.2833,43.1333,6.06,77,11,15.41,RU,few clouds
174,Omboue,-1.5746,9.2618,78.94,83,100,4.68,GA,light rain
175,Shushtar,32.0455,48.8567,52.21,38,37,4.41,IR,scattered clouds
176,Tiksi,71.6872,128.8694,-18.0,100,95,4.45,RU,overcast clouds
177,Portland,45.5234,-122.6762,52.43,71,75,3.0,US,broken clouds
178,Namibe,-15.1961,12.1522,73.36,71,100,6.08,AO,overcast clouds
179,Christchurch,-43.5333,172.6333,71.33,68,21,1.99,NZ,few clouds
180,Tutoia,-2.7619,-42.2744,85.98,77,97,11.23,BR,overcast clouds
181,Faanui,-16.4833,-151.75,80.2,73,11,7.52,PF,light rain
182,Bo Phloi,14.3236,99.5161,66.49,69,15,4.97,TH,few clouds
183,Nortelandia,-14.4547,-56.8028,74.41,94,100,5.84,BR,light rain
184,Sitka,57.0531,-135.33,37.29,75,75,0.0,US,broken clouds
185,Moose Factory,51.2585,-80.6094,-2.22,65,75,9.22,CA,broken clouds
186,Port Macquarie,-31.4333,152.9167,74.89,85,10,4.07,AU,clear sky
187,Buala,-8.145,159.5921,81.34,81,100,4.68,SB,light rain
188,Aklavik,68.2191,-135.0107,0.14,96,100,4.94,CA,overcast clouds
189,Xining,36.6167,101.7667,9.01,71,42,1.7,CN,scattered clouds
190,Permet,40.2336,20.3517,41.27,68,0,4.25,AL,clear sky
191,Laguna,38.421,-121.4238,63.88,59,0,1.01,US,clear sky
192,Haines Junction,60.7522,-137.5108,8.08,92,98,2.89,CA,overcast clouds
193,Severo-Kurilsk,50.6789,156.125,27.55,94,100,12.75,RU,snow
194,Canutama,-6.5339,-64.3831,80.74,85,80,3.2,BR,broken clouds
195,Mwinilunga,-11.7358,24.4293,63.77,97,100,4.79,ZM,overcast clouds
196,Huanren,41.2647,125.3667,4.91,89,8,1.21,CN,clear sky
197,Podporozhye,60.9112,34.1706,21.36,95,100,7.74,RU,light snow
198,Nisia Floresta,-6.0911,-35.2086,83.21,77,16,9.71,BR,few clouds
199,Grindavik,63.8424,-22.4338,27.07,63,75,36.82,IS,light snow
200,Zhuhai,22.2769,113.5678,59.05,71,40,21.85,CN,scattered clouds
201,Mendoza,-32.8908,-68.8272,90.12,26,8,7.92,AR,clear sky
202,Tripoli,32.8752,13.1875,54.28,69,0,10.69,LY,clear sky
203,Itaituba,-4.2761,-55.9836,77.7,83,100,0.31,BR,overcast clouds
204,Ponta Do Sol,32.6667,-17.1,65.12,41,1,9.15,PT,clear sky
205,Bulgan,48.8125,103.5347,-9.53,89,4,3.94,MN,clear sky
206,Pozoblanco,38.3791,-4.8483,41.58,47,24,1.95,ES,few clouds
207,Nouadhibou,20.931,-17.0347,64.33,76,100,19.93,MR,overcast clouds
208,Buraydah,26.326,43.975,57.67,38,83,13.69,SA,broken clouds
