City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
24,Lebu,-37.6167,-73.65,60.85,87,1,4.94,CL,2022-01-29 00:08:40
25,Nantucket,41.2835,-70.0995,33.91,94,100,11.41,US,2022-01-29 00:08:41
26,Souillac,-20.5167,57.5167,77.36,86,30,7.31,MU,2022-01-29 00:04:30
27,Khatanga,71.9667,102.5,-2.54,88,100,4.97,RU,2022-01-29 00:08:42
28,Fortuna,40.5982,-124.1573,59.41,67,0,9.22,US,2022-01-29 00:08:43
29,West Odessa,31.8424,-102.4988,50.68,28,0,5.75,US,2022-01-29 00:08:43
30,Hermanus,-34.4187,19.2345,59.81,77,1,11.74,ZA,2022-01-29 00:08:44
31,Rikitea,-23.1203,-134.9692,78.26,69,100,14.18,PF,2022-01-29 00:08:44
32,Lincoln,40.8,-96.667,34.39,54,0,1.99,US,2022-01-29 00:04:28
33,Cidreira,-30.1811,-50.2056,70.47,69,53,13.06,BR,2022-01-29 00:08:45
34,Albany,42.6001,-73.9662,26.74,78,100,1.01,US,2022-01-29 00:05:15
35,Lac Du Bonnet,50.2536,-96.0612,-8.23,100,93,2.3,CA,2022-01-29 00:08:46
36,Danielskuil,-28.1887,23.5395,69.91,50,38,3.42,ZA,2022-01-29 00:08:46
37,Chifeng,42.2683,118.9636,10.58,51,0,4.74,CN,2022-01-29 00:08:47
38,Tiksi,71.6872,128.8694,-8.5,99,89,7.9,RU,2022-01-29 00:08:48
39,Vao,-22.6667,167.4833,78.78,83,100,22.62,NC,2022-01-29 00:08:48
40,Champerico,14.3,-91.9167,85.28,64,2,12.03,GT,2022-01-29 00:08:49
41,Paita,-5.0892,-81.1144,72.05,81,93,9.44,PE,2022-01-29 00:08:50
42,Itoman,26.1247,127.6694,65.17,100,75,8.05,JP,2022-01-29 00:04:44
43,Tres Picos,15.8667,-93.5333,81.46,65,1,0.83,MX,2022-01-29 00:08:50
44,Labuhan,-6.8844,112.2051,79.65,82,100,6.33,ID,2022-01-29 00:08:51
45,Lavrentiya,65.5833,-171.0,-6.23,94,6,3.44,RU,2022-01-29 00:08:51
46,Vila Velha,-20.3297,-40.2925,80.55,86,0,3.0,BR,2022-01-29 00:05:03
47,New Norfolk,-42.7826,147.0587,66.9,57,98,1.99,AU,2022-01-29 00:09:53
48,Haapiti,-17.5667,-149.8667,87.53,71,17,16.17,PF,2022-01-29 00:09:53
49,Kaitangata,-46.2817,169.8464,63.93,73,93,3.53,NZ,2022-01-29 00:09:54
50,Kirakira,-10.4544,161.9205,83.12,80,97,12.84,SB,2022-01-29 00:09:54
51,Urengoy,65.9667,78.3667,2.62,97,98,7.58,RU,2022-01-29 00:09:55
